Assault,Asterix,BattleZone,BeamRider,Boxing,Breakout,CrazyClimber,DemonAttack,DoubleDunk,Enduro,FishingDerby,MsPacman,NameThisGame,Phoenix,Pong,Qbert,SpaceInvaders,Tutankham,VideoPinball
382.83,202.0,1430.0,783.36,-23.67,0.34,6.0,67.8,-23.88,0.0,-98.62,118.0,1464.7,37.6,-20.95,0.5,8.1,0.05,7950.21
389.97,1746.0,1180.0,1033.04,-40.23,4.54,11000.0,71.4,-24.0,0.0,-91.76,868.4,1389.9,470.9,-20.97,275.0,9.6,3.41,0.0
374.64,2512.0,20110.0,3323.04,-38.84,18.56,11000.0,156.4,-23.82,0.01,-82.0,1296.6,5106.9,95.0,-21.0,159.25,7.1,3.2,10075.59
347.34,2932.0,28730.0,8179.8,-1.92,56.82,51976.0,2853.8,-23.92,0.52,-95.2,1430.2,7645.5,9015.2,-20.7,293.5,294.15,0.36,6199.32
463.26,2764.0,26480.0,9966.84,22.44,67.18,60878.0,11347.4,-23.96,28.48,-87.4,1660.0,11677.1,15736.1,-14.72,475.5,609.5,103.61,0.0
876.82,3157.0,30750.0,10733.28,40.53,189.58,52442.0,23460.45,-23.86,7.21,-82.11,1715.4,11984.1,15248.7,-13.1,652.0,649.0,110.82,7812.25
1334.42,3146.0,27010.0,12693.84,63.48,228.62,65806.0,19185.95,-22.94,32.55,-87.36,2004.2,12936.6,8760.8,-12.35,771.75,676.95,91.04,816.05
1502.53,3276.0,27560.0,12936.24,73.23,244.98,68744.0,71519.35,-23.82,173.72,-79.07,2207.8,12769.6,5601.4,-10.84,726.25,692.95,125.44,12461.22
1511.22,5502.0,33660.0,13967.4,71.55,303.92,65440.0,50898.45,-21.28,933.18,-51.09,2444.4,13275.6,21703.7,-8.27,3536.75,690.0,115.41,14231.21
1958.96,11758.0,34810.0,15952.2,71.28,239.3,71888.0,85964.5,-23.9,1149.18,-0.58,2280.0,14228.0,25634.5,-6.04,4098.5,734.95,112.93,8193.64
1638.69,29434.0,38760.0,20631.12,75.51,269.32,73982.0,99669.6,-23.86,1417.34,17.58,2430.8,14978.5,21660.7,-5.08,4093.0,811.95,117.96,20227.14
2193.46,26320.0,40720.0,24154.12,84.72,358.38,76070.0,88555.35,-23.54,2045.02,22.01,2416.6,14736.7,15710.8,-3.36,3651.0,776.8,161.05,19541.31
2531.2,33570.0,37100.0,31037.32,85.97,375.08,58738.0,109350.15,-23.52,2164.77,27.65,2707.2,13919.2,18875.6,-3.86,4084.0,837.65,100.69,18838.49
1715.86,34974.0,38890.0,34163.48,88.67,297.6,78002.0,111866.1,-22.22,2140.83,25.9,3195.8,14951.3,20510.3,-2.22,4298.75,982.3,113.43,15473.02
2414.78,35820.0,42410.0,24136.88,90.11,355.72,76276.0,117044.6,-20.88,2227.16,23.04,3123.8,15722.3,18328.8,4.7,4338.25,1283.8,107.15,13909.54
3407.96,36718.0,43650.0,33336.64,84.35,334.26,86224.0,117236.6,-23.72,2192.63,26.75,3442.8,17372.6,22887.9,6.0,4512.75,1089.9,118.3,23286.79
7922.82,66326.0,46960.0,34564.12,82.51,433.42,87758.0,116195.2,-20.3,2171.59,25.46,3377.0,17811.6,25229.5,8.65,4446.75,1328.55,135.84,31933.46
9917.04,91778.0,47410.0,32125.52,85.28,422.7,87250.0,118645.3,-21.8,1917.81,21.22,3867.6,16884.7,27135.5,9.92,7317.25,1336.05,156.86,40778.22
8149.73,159650.0,49050.0,32797.64,83.95,496.16,94348.0,99274.95,-23.8,1771.54,27.99,3216.0,17859.3,10045.6,11.65,7295.5,1467.55,39.44,15883.1
10932.68,142648.0,54600.0,35291.44,87.11,449.54,87030.0,120334.2,-20.92,1476.07,28.5,3842.4,17165.6,22442.6,10.11,7720.0,1488.5,158.68,42265.28
8038.56,172680.0,57420.0,34881.32,88.73,471.72,97092.0,105451.75,-18.66,194.75,27.43,4083.8,17577.2,28112.3,7.25,8034.75,1450.0,163.97,49733.38
10356.68,301416.0,53700.0,25899.32,91.24,446.22,89094.0,118372.9,-18.54,1816.45,26.99,3594.6,19129.0,25351.4,10.32,8793.5,1467.8,91.24,46648.24
14025.16,262834.0,57750.0,37491.08,92.64,450.36,95000.0,121661.65,-16.8,1911.56,26.55,3878.4,20336.8,15478.4,13.05,8017.75,1800.1,160.83,41846.04
10692.91,345432.0,61000.0,26393.64,94.37,451.42,97596.0,116670.5,-19.76,1975.11,28.36,3567.2,19518.1,22464.7,13.89,11197.5,1703.35,160.37,74129.4
17003.7,381042.0,61160.0,28603.2,97.0,483.22,104724.0,124037.5,-17.6,1992.25,33.34,4357.0,18024.4,30217.8,14.3,11277.25,2027.1,161.56,76418.86
9358.09,520320.0,57940.0,35295.36,96.29,494.76,96654.0,121576.05,-18.98,2074.3,29.42,4088.6,20653.7,28132.1,15.42,13324.0,2222.75,166.19,90845.47
16229.64,537492.0,62350.0,23919.0,96.86,454.74,109122.0,119685.8,-17.64,2169.4,30.67,3446.2,18099.8,41839.3,15.24,12782.25,2375.65,162.01,73645.8
